Origin Address,Destination Address,Distance,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Google Maps URL
"Baneswar, Shibpur, Puthia, Rajshahi","Kolahata, Kalikapur, Haroa, Bonpara, Boraigram, Natore","৫৪ মিনিট
৪২.০ কি.মি.
রাজশাহী - ঢাকা মহাসড়ক/N6 এবং নাটোর - ঢাকা মহাসড়ক/রাজশাহী - ঢাকা মহাসড়ক/N6 হয়ে
Fastest route, despite the usual traffic
বিশদ বিবরণ",24.358616,88.5921562,24.358616,88.5921562,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Kolahata,+Kalikapur,+Haroa,+Bonpara,+Boraigram,+Natore&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Doshtika, Noongola, Bogura Sadar, Bogura","২ ঘণ্টা ১৭ মিনিট
১০১ কি.মি.
নাটোর রোড/বগুড়া - নাটর মহাসড়ক হয়ে
Fastest route now due to traffic conditions
বিশদ বিবরণ",24.6341391,88.731549,24.6341391,88.731549,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Doshtika,+Noongola,+Bogura+Sadar,+Bogura&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Kuchbihar Road, Mahigong, Satmatha, Bottola, Mahiganj, Rangpur","৪ ঘণ্টা ২ মিনিট
১৯৮ কি.মি.
নাটোর রোড/বগুড়া - নাটর মহাসড়ক এবং বগুড়া - রংপুর মহাসড়ক/N5 হয়ে
Fastest route now due to traffic conditions
বিশদ বিবরণ",25.0112182,88.4977429,25.0112182,88.4977429,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Kuchbihar+Road,+Mahigong,+Satmatha,+Bottola,+Mahiganj,+Rangpur&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Kumurpur (near Zosna filling station), Birganj, Dinajpur","৬ ঘণ্টা ১৩ মিনিট
২৩৮ কি.মি.
Rajshahi - Naogaon Hwy/R685 হয়ে
Fastest route now due to traffic conditions
বিশদ বিবরণ",25.1066031,88.3389343,25.1066031,88.3389343,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Kumurpur+(near+Zosna+filling+station),+Birganj,+Dinajpur&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Thikadar Para, Kale, Belgasha, Khalilgonj, Kurigram","৫ ঘণ্টা ১৪ মিনিট
২৩৯ কি.মি.
নাটোর রোড/বগুড়া - নাটর মহাসড়ক এবং বগুড়া - রংপুর মহাসড়ক/N5 হয়ে
Fastest route now due to traffic conditions
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",25.0876605,88.5406115,25.0876605,88.5406115,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Thikadar+Para,+Kale,+Belgasha,+Khalilgonj,+Kurigram&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Dhaka Road, Gas Field Chourasta, Shakhipur, Tangail","৭ ঘণ্টা ৫ মিনিট
৩০৬ কি.মি.
ঢাকা - যমুনা সেতু মহাসড়ক হয়ে
Fastest route, despite the usual traffic
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",23.8911901,88.4830102,23.8911901,88.4830102,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Dhaka+Road,+Gas+Field+Chourasta,+Shakhipur,+Tangail&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Digharkanda (Koborsthan Road), Amlitola, Mymensingh Sadar, Mymensingh","৫ ঘণ্টা ৯ মিনিট
২২২ কি.মি.
ঢাকা - রাজশাহী মহাসড়ক/নাটোর - ঢাকা মহাসড়ক/N507 হয়ে
Fastest route, despite the usual traffic
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",24.5338384,88.2689738,24.5338384,88.2689738,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Digharkanda+(Koborsthan+Road),+Amlitola,+Mymensingh+Sadar,+Mymensingh&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Kuchai, Kadamtoli, South Surma, Sylhet","১০ ঘণ্টা ১১ মিনিট
৪৩১ কি.মি.
জাতির পিতা হযরত ইব্রাহিম (আঃ) এক্সপ্রেসওয়ে/ঢাকা-সিলেট মহাসড়ক/N2 হয়ে
Fastest route now, avoids road closure on জয়দেবপুর - টাঙ্গাইল - জামালপুর মহাসড়ক.
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",24.1026912,87.6633695,24.1026912,87.6633695,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Kuchai,+Kadamtoli,+South+Surma,+Sylhet&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Word-01, College Road, Mirpur Bazar, Bahubal, Habiganj","৮ ঘণ্টা ২৪ মিনিট
৩৫৫ কি.মি.
জাতির পিতা হযরত ইব্রাহিম (আঃ) এক্সপ্রেসওয়ে/ঢাকা-সিলেট মহাসড়ক/N2 হয়ে
Fastest route now, avoids road closure on জয়দেবপুর - টাঙ্গাইল - জামালপুর মহাসড়ক.
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",23.874267,87.4919348,23.874267,87.4919348,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Word-01,+College+Road,+Mirpur+Bazar,+Bahubal,+Habiganj&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Daklapara, Kalakochua Bazar, Burichong, Cumilla","৭ ঘণ্টা ৪১ মিনিট
৩৪৩ কি.মি.
ঢাকা - যমুনা সেতু মহাসড়ক হয়ে
Fastest route, despite the usual traffic
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ
প্রিভিউ",23.874267,87.3213006,23.874267,87.3213006,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Daklapara,+Kalakochua+Bazar,+Burichong,+Cumilla&travelmode=driving"
